Country,Code,Mean male height (cm),Mean female height (cm),Mean male BMI (kg/m_2),Mean female BMI (kg/m_2),Life expectancy at birth (years),Road traffic mortality rate (per 100 000 population),Mortality rate due to homicide (per 100 000 population),Total alcohol per capita (more 15 years of age) consumption (litres of pure alcohol),Density of medical doctors (per 10 000 population),Age-standardized prevalence of tobacco use among persons 15 years and older  (%),Happiness - Life evaluation (3-year average),Cost of Living Index,Price To Income Ratio
India,IND,165.02371385,152.5033064,21.7,21.9,67.30780612,14.60000000000000,3.64849078700000,4.54485445000000,7.23000000000000,24.30000000000000,4.389,18.9,11.0
Indonesia,IDN,163.47665883,152.45836888,22.5,23.8,68.26167935,11.30000000000000,4.14344256100000,0.08454471200000,5.24000000000000,38.20000000000000,5.617,26.1,25.0
Iran,IRN,173.47791185,159.43515151,25.2,27,74.71077692,20.60000000000000,2.89528447900000,0.07408637600000,18.11000000000000,13.30000000000000,5.093,22.8,17.2
Iraq,IRQ,170.7703653,158.71626636,27.8,29.7,71.46632369,21.50000000000000,12.58898300000000,0.64398663900000,10.22000000000000,19.20000000000000,4.976,28.4,10.1
Ireland,IRL,178.74078362,164.84700823,27.9,27,81.60162902,2.80000000000000,0.75212624600000,10.54529669600000,38.75000000000000,19.30000000000000,6.889,70.6,6.9
Israel,ISR,176.76622325,161.83442438,27.6,26.9,81.74464677,4.20000000000000,1.02619866600000,3.12447887800000,37.97000000000000,20.40000000000000,7.234,79.7,12.2
Italy,ITA,177.5654295,164.21453345,26.5,24.7,82.19747411,5.00000000000000,0.64158916600000,8.32921432400000,41.91000000000000,22.40000000000000,6.415,61.4,8.3
Jamaica,JAM,174.55513372,163.22512769,25.8,29.6,70.1439437,17.80000000000000,51.86607925000000,3.92555004800000,4.60000000000000,9.70000000000000,5.870,54.5,
Japan,JPN,171.04545488,158.37837963,23.6,21.8,84.46067178,2.70000000000000,0.18136622800000,6.31008584400000,26.49000000000000,19.20000000000000,6.147,47.5,11.4
Jordan,JOR,171.44674971,158.87493924,28.3,29.8,75.64973596,13.60000000000000,2.33082508900000,0.25038745300000,28.51000000000000,35.60000000000000,4.310,39.4,7.5
Kazakhstan,KAZ,171.40653936,159.78648673,26.3,26.4,70.27511981,12.20000000000000,4.43408582900000,5.36709452800000,37.54000000000000,22.20000000000000,6.378,29.8,8.9
Kenya,KEN,170.40090327,158.55219623,22.1,24.5,66.76221995,28.20000000000000,5.82130505800000,2.47979802500000,2.89000000000000,10.70000000000000,4.510,28.9,17.0
Kiribati,KIR,169.4605506,157.45851788,29,31.1,60.87345633,6.20000000000000,4.45331360800000,1.03085441400000,,39.70000000000000,,,
Kuwait,KWT,172.28925031,159.499331,29,30.4,78.95211671,9.20000000000000,1.70707906000000,0.07265583700000,22.73000000000000,19.90000000000000,6.629,42.5,6.5
Kyrgyzstan,KGZ,171.3219652,159.43995073,25.9,27.2,72.18500345,13.30000000000000,4.73861211700000,3.91974029900000,15.67800000000000,27.30000000000000,5.858,27.3,15.1
Laos,LAO,160.51780512,151.35263915,22.7,23.1,68.23189407,16.40000000000000,6.35212224400000,11.16794912100000,3.31000000000000,27.20000000000000,5.301,,
Latvia,LVA,181.09479191,169.40329892,27,26.2,73.20251724,9.80000000000000,4.50968641700000,14.72569079800000,33.98000000000000,33.90000000000000,6.207,52.3,8.9
